checking;duration;history;purpose;amount;employed;installp;marital;coapp;resident;property;age;other;housing;existcr;job;depends;telephon;foreign;savings;good_bad;Target
1;6;4;3;1169;5;4;3;1;4;1;67;3;2;2;3;1;2;1;5;good;0
2;48;2;3;5951;3;2;2;1;2;1;22;3;2;1;3;1;1;1;1;bad;1
4;12;4;6;2096;4;2;3;1;3;1;49;3;2;1;2;2;1;1;1;good;0
1;42;2;2;7882;4;2;3;3;4;2;45;3;3;1;3;2;1;1;1;good;0
1;24;3;0;4870;3;3;3;1;4;4;53;3;3;2;3;2;1;1;1;bad;1
4;36;2;6;9055;3;2;3;1;4;4;35;3;3;1;2;2;2;1;5;good;0
4;24;2;2;2835;5;3;3;1;4;2;53;3;2;1;3;1;1;1;3;good;0
2;36;2;1;6948;3;2;3;1;2;3;35;3;1;1;4;1;2;1;1;good;0
4;12;2;3;3059;4;2;1;1;4;1;61;3;2;1;2;1;1;1;4;good;0
2;30;4;0;5234;1;4;4;1;2;3;28;3;2;2;4;1;1;1;1;bad;1
2;12;2;0;1295;2;3;2;1;1;3;25;3;1;1;3;1;1;1;1;bad;1
1;48;2;9;4308;2;3;2;1;4;2;24;3;1;1;3;1;1;1;1;bad;1
2;12;2;3;1567;3;1;2;1;1;3;22;3;2;1;3;1;2;1;1;good;0
1;24;4;0;1199;5;4;3;1;4;3;60;3;2;2;2;1;1;1;1;bad;1
1;15;2;0;1403;3;2;2;1;4;3;28;3;1;1;3;1;1;1;1;good;0
1;24;2;3;1282;3;4;2;1;2;3;32;3;2;1;2;1;1;1;2;bad;1
4;24;4;3;2424;5;4;3;1;4;2;53;3;2;2;3;1;1;1;5;good;0
1;30;0;9;8072;2;2;3;1;3;3;25;1;2;3;3;1;1;1;5;good;0
2;24;2;1;12579;5;4;2;1;2;4;44;3;3;1;4;1;2;1;1;bad;1
4;24;2;3;3430;5;3;3;1;2;3;31;3;2;1;3;2;2;1;3;good;0
4;9;4;0;2134;3;4;3;1;4;3;48;3;2;3;3;1;2;1;1;good;0
1;6;2;3;2647;3;2;3;1;3;1;44;3;1;1;3;2;1;1;3;good;0
1;10;4;0;2241;2;1;3;1;3;1;48;3;1;2;2;2;1;2;1;good;0
2;12;4;1;1804;2;3;3;1;4;2;44;3;2;1;3;1;1;1;2;good;0
4;10;4;2;2069;3;2;4;1;1;3;26;3;2;2;3;1;1;2;5;good;0
1;6;2;2;1374;3;1;3;1;2;1;36;1;2;1;2;1;2;1;1;good;0
4;6;0;3;426;5;4;4;1;4;3;39;3;2;1;2;1;1;1;1;good;0
3;12;1;3;409;3;3;2;1;3;1;42;3;1;2;3;1;1;1;4;good;0
2;7;2;3;2415;3;3;3;3;2;1;34;3;2;1;3;1;1;1;1;good;0
1;60;3;9;6836;5;3;3;1;4;4;63;3;2;2;3;1;2;1;1;bad;1
2;18;2;9;1913;2;3;4;1;3;1;36;1;2;1;3;1;2;1;4;good;0
1;24;2;2;4020;3;2;3;1;2;3;27;2;2;1;3;1;1;1;1;good;0
2;18;2;0;5866;3;2;3;1;2;3;30;3;2;2;3;1;2;1;2;good;0
4;12;4;9;1264;5;4;3;1;4;4;57;3;1;1;2;1;1;1;5;good;0
3;12;2;2;1474;2;4;2;1;1;2;33;1;2;1;4;1;2;1;1;good;0
2;45;4;3;4746;2;4;3;1;2;2;25;3;2;2;2;1;1;1;1;bad;1
4;48;4;6;6110;3;1;3;1;3;4;31;1;3;1;3;1;2;1;1;good;0
3;18;2;3;2100;3;4;3;2;2;1;37;2;2;1;3;1;1;1;1;bad;1
3;10;2;4;1225;3;2;3;1;2;3;37;3;2;1;3;1;2;1;1;good;0
2;9;2;3;458;3;4;3;1;3;1;24;3;2;1;3;1;1;1;1;good;0
4;30;2;3;2333;5;4;3;1;2;3;30;1;2;1;4;1;1;1;3;good;0
2;12;2;3;1158;3;3;1;1;1;3;26;3;2;1;3;1;2;1;3;good;0
2;18;3;5;6204;3;2;3;1;4;1;44;3;2;1;2;2;2;1;1;good;0
1;30;4;1;6187;4;1;4;1;4;3;24;3;1;2;3;1;1;1;2;good;0
1;48;4;1;6143;5;4;2;1;4;4;58;2;3;2;2;1;1;1;1;bad;1
4;11;4;0;1393;2;4;2;1;4;3;35;3;2;2;4;1;1;1;1;good;0
4;36;2;3;2299;5;4;3;1;4;3;39;3;2;1;3;1;1;1;3;good;0
1;6;2;1;1352;1;1;2;1;2;2;23;3;1;1;1;1;2;1;3;good;0
4;11;4;0;7228;3;1;3;1;4;2;39;3;2;2;2;1;1;1;1;good;0
4;12;2;3;2073;3;4;2;2;2;1;28;3;2;1;3;1;1;1;2;good;0
2;24;3;2;2333;2;4;3;1;2;2;29;1;2;1;2;1;1;1;5;good;0
2;27;3;1;5965;5;1;3;1;2;3;30;3;2;2;4;1;2;1;1;good;0
4;12;2;3;1262;3;3;3;1;2;3;25;3;2;1;3;1;1;1;1;good;0
4;18;2;1;3378;3;2;3;1;1;2;31;3;2;1;3;1;2;1;5;good;0
2;36;3;0;2225;5;4;3;1;4;4;57;1;3;2;3;1;2;1;1;bad;1
4;6;1;0;783;3;1;3;3;2;1;26;2;2;1;2;2;1;1;5;good;0
2;12;2;3;6468;1;2;3;1;1;4;52;3;2;1;4;1;2;1;5;bad;1
4;36;4;3;9566;3;2;2;1;2;3;31;2;2;2;3;1;1;1;1;good;0
3;18;2;0;1961;5;3;2;1;2;3;23;3;2;1;4;1;1;1;1;good;0
1;36;4;2;6229;2;4;2;2;4;4;23;3;1;2;2;1;2;1;1;bad;1
2;9;2;9;1391;3;2;4;1;1;1;27;1;2;1;3;1;2;1;1;good;0
2;15;4;3;1537;5;4;3;3;4;1;50;3;2;2;3;1;2;1;5;good;0
2;36;0;9;1953;5;4;3;1;4;4;61;3;3;1;4;1;2;1;1;bad;1
2;48;0;9;14421;3;2;3;1;2;3;25;3;2;1;3;1;2;1;1;bad;1
4;24;2;3;3181;2;4;2;1;4;2;26;3;2;1;3;1;2;1;1;good;0
4;27;2;5;5190;5;4;3;1;4;2;48;3;2;4;3;2;2;1;5;good;0
4;12;2;3;2171;2;2;2;1;2;3;29;1;2;1;3;1;1;1;1;good;0
